PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0029408,Degenerative polyarthritis,,,,,,,,
1,,,C0003862,Arthralgia,,,,,,
1,,,C0917801,Sleeplessness,,,,,,
5,C0029408,Degenerative polyarthritis,,,,,,,,
5,,,C0030193,Pain,,,,,,
5,,,,,C3687832,DRUGS,,,,
6,C0343024,Cellulitis of leg,,,,,,,,
6,,,C0231749,Knee pain,,,,,,
6,,,C2220048,Bilateral knee pain,,,,,,
8,C0029408,Degenerative polyarthritis,,,,,,,,
8,,,,,C0741419,back surgery,,,,
8,,,,,,,,,C1269004,Entire mitral valve
8,,,,,,,,,C0006104,Brain
11,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
12,C0028754,Obesity,,,,,,,,
12,,,C0557875,Tired,,,,,,
12,,,C0497406,Overweight,,,,,,
12,,,,,C1293134,Enlargement procedure,,,,
12,,,,,,,,,C0040132,Thyroid Gland
13,C0149931,Migraine Disorders,,,,,,,,
13,,,C0007859,Neck Pain,,,,,,
13,,,C0557875,Tired,,,,,,
13,,,C0234230,"Pain, Burning",,,,,,
13,,,C0030193,Pain,,,,,,
13,,,C0004604,Back Pain,,,,,,
13,,,,,C0394663,Cupping,,,,
13,,,,,C0034945,Reflexology,,,,
13,,,,,C0394664,Acupuncture procedure,,,,
13,,,,,,,,,C1281590,Entire head
13,,,,,,,,,C1281592,Entire neck
23,C0028754,Obesity,,,,,,,,
24,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
24,,,C0030193,Pain,,,,,,
24,,,,,C0034991,Rehabilitation therapy,,,,
24,,,,,C0695365,steam room,,,,
26,C0149931,Migraine Disorders,,,,,,,,
26,,,C0027498,Nausea and vomiting,,,,,,
29,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
29,,,C0018834,Heartburn,,,,,,
29,,,C0036572,Seizures,,,,,,
31,C0019202,Hepatolenticular Degeneration,,,,,,,,
31,,,C0221423,Illness (finding),,,,,,
31,,,,,C1306232,Severing,,,,
37,C1969653,MUNGAN SYNDROME,,,,,,,,
37,,,,,C0152277,Incision and drainage,,,,
37,,,,,,,,,C1278913,Entire tongue
42,C0029408,Degenerative polyarthritis,,,,,,,,
42,,,C0557875,Tired,,,,,,
42,,,C0030193,Pain,,,,,,
44,C1969653,MUNGAN SYNDROME,,,,,,,,
46,C0020624,Hypomenorrhea,,,,,,,,
46,,,C0312414,Menstrual spotting,,,,,,
46,,,,,C0021485,Injection of therapeutic agent,,,,
50,C0029408,Degenerative polyarthritis,,,,,,,,
50,,,C0003862,Arthralgia,,,,,,
50,,,C0012833,Dizziness,,,,,,
50,,,C0917801,Sleeplessness,,,,,,
50,,,C0392674,Exhaustion,,,,,,
50,,,,,,,,,C0018563,Hand
50,,,,,,,,,C1268257,Entire right elbow region
50,,,,,,,,,C0016504,Foot
54,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
54,,,C0518214,Perceived quality of life,,,,,,
54,,,C0037088,Signs and Symptoms,,,,,,
