PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0020538,Hypertensive disease,,,,,,,,
1,,,C0015468,Facial Pain,,,,,,
1,,,C0030193,Pain,,,,,,
1,,,C0028084,Nightmares,,,,,,
1,,,,,,,,,C1281590,Entire head
6,C0600040,Chronic interstitial cystitis,,,,,,,,
6,,,C1517205,Flare,,,,,,
6,,,C0232849,Bladder pain,,,,,,
8,C0037315,Sleep Apnea Syndromes,,,,,,,,
14,C0006444,Bursitis,,,,,,,,
14,,,C2141922,Pain in left hip,,,,,,
17,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
17,,,,,C0002766,Pain management,,,,
17,,,,,,,,,C0228084,Nerve root structure
34,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
34,,,C0231749,Knee pain,,,,,,
34,,,C0030193,Pain,,,,,,
34,,,,,C1533685,Injection procedure,,,,
34,,,,,,,,,C4019253,Kneecap
34,,,,,,,,,C0022742,Knee
42,C0024586,Malignant Carcinoid Syndrome,,,,,,,,
42,,,C0036572,Seizures,,,,,,
42,,,C0004604,Back Pain,,,,,,
43,C0011334,Dental caries,,,,,,,,
43,,,C0278148,Throbbing pain,,,,,,
43,,,C0015468,Facial Pain,,,,,,
43,,,C3257803,Watery eyes,,,,,,
43,,,C0030193,Pain,,,,,,
43,,,,,,,,,C1281562,Entire tooth
47,C0042109,Urticaria,,,,,,,,
47,,,C0033774,Pruritus,,,,,,
49,C0750466,Yeast infection,,,,,,,,
49,,,C0033774,Pruritus,,,,,,
49,,,C0085624,Burning sensation,,,,,,
53,C0920065,achilles tendon pain,,,,,,,,
53,,,C0231528,Myalgia,,,,,,
53,,,C0030193,Pain,,,,,,
53,,,C0239377,Arm Pain,,,,,,
53,,,,,,,,,C4019253,Kneecap
53,,,,,,,,,C0035561,Bone structure of rib
53,,,,,,,,,C1269612,Entire upper arm
53,,,,,,,,,C3536743,Muscle of arm
53,,,,,,,,,C0037949,Vertebral column
53,,,,,,,,,C0423866,Lanugo
53,,,,,,,,,C0042449,Veins
53,,,,,,,,,C0023217,Leg Bones
53,,,,,,,,,C0038293,Sternum
54,C0021400,Influenza,,,,,,,,
54,,,C0234233,Sore to touch,,,,,,
54,,,,,,,,,C0040426,Tooth structure
55,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
55,,,C0033774,Pruritus,,,,,,
55,,,,,C0152277,Incision and drainage,,,,
55,,,,,,,,,C1280739,Entire penis
56,C0021400,Influenza,,,,,,,,
56,,,C0235129,Feeling strange,,,,,,
56,,,C0026821,Muscle Cramp,,,,,,
56,,,C0917801,Sleeplessness,,,,,,
56,,,C0028084,Nightmares,,,,,,
56,,,,,,,,,C0006104,Brain
57,C0021400,Influenza,,,,,,,,
57,,,C0000729,Abdominal Cramps,,,,,,
60,C0021400,Influenza,,,,,,,,
64,C0012634,Disease,,,,,,,,
64,,,C0231218,Malaise,,,,,,
64,,,C0030193,Pain,,,,,,
64,,,,,C0185115,Extraction,,,,
64,,,,,C0040440,Tooth Extraction,,,,
64,,,,,C0015252,removal technique,,,,
64,,,,,C0184661,Interventional procedure,,,,
64,,,,,,,,,C1278914,Entire palate
64,,,,,,,,,C0227037,Maxillary right second premolar
64,,,,,,,,,C0040426,Tooth structure
66,C0021400,Influenza,,,,,,,,
66,,,,,,,,,C1278896,Entire nose
66,,,,,,,,,C1280698,Entire throat (surface region of neck)
67,C0021400,Influenza,,,,,,,,
67,,,,,C0332293,Treated with,,,,
74,C0021400,Influenza,,,,,,,,
81,C0021400,Influenza,,,,,,,,
81,,,C0012833,Dizziness,,,,,,
81,,,,,,,,,C1278920,Entire stomach
82,C3280240,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME",,,,,,,,
82,,,C2957106,headache severe,,,,,,
82,,,C0027497,Nausea,,,,,,
82,,,C0392171,Influenza-like symptoms,,,,,,
