PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0036916,Sexually Transmitted Diseases,,,,,,,,
1,,,C0033774,Pruritus,,,,,,
1,,,C0030193,Pain,,,,,,
1,,,,,C0184958,Toilet procedure,,,,
1,,,,,,,,,C0042232,Vagina
1,,,,,,,,,C1281584,Entire finger
2,C0019340,herpes,,,,,,,,
2,,,C0015230,Exanthema,,,,,,
2,,,C0033774,Pruritus,,,,,,
3,C0036916,Sexually Transmitted Diseases,,,,,,,,
3,,,,,,,,,C0030851,penis
4,C0036916,Sexually Transmitted Diseases,,,,,,,,
4,,,C0030193,Pain,,,,,,
5,C0019340,herpes,,,,,,,,
5,,,C0033774,Pruritus,,,,,,
5,,,,,,,,,C0227759,Labium
6,C0019693,HIV Infections,,,,,,,,
7,C0036916,Sexually Transmitted Diseases,,,,,,,,
7,,,,,,,,,C0017420,Genitalia
7,,,,,,,,,C0023759,Lip structure
7,,,,,,,,,C1281591,Entire face
8,C0036916,Sexually Transmitted Diseases,,,,,,,,
8,,,C0033774,Pruritus,,,,,,
8,,,,,,,,,C0227759,Labium
8,,,,,,,,,C0008984,Clitoris
9,C0036916,Sexually Transmitted Diseases,,,,,,,,
9,,,C0033774,Pruritus,,,,,,
9,,,C0030193,Pain,,,,,,
9,,,,,,,,,C0042232,Vagina
9,,,,,,,,,C0227766,labium minus
10,C3542022,"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME",,,,,,,,
10,,,,,,,,,C0042232,Vagina
10,,,,,,,,,C0040408,Tongue
10,,,,,,,,,C0227766,labium minus
11,C0018790,Cardiac Arrest,,,,,,,,
11,,,,,C0152054,Therapeutic tactile stimulation,,,,
11,,,,,,,,,C0040067,Thumb structure
12,C0003864,Arthritis,,,,,,,,
12,,,C0019559,Hip pain,,,,,,
12,,,,,C1456647,Childhood Immunization,,,,
12,,,,,C0374711,Surgical repair,,,,
12,,,,,,,,,C0019552,Hip structure
13,C0003864,Arthritis,,,,,,,,
13,,,C0030193,Pain,,,,,,
13,,,,,,,C0306431,Icy Hot Cream,,
13,,,,,,,,,C0040067,Thumb structure
14,C0003864,Arthritis,,,,,,,,
14,,,,,,,,,C0230388,Index finger
14,,,,,,,,,C0018534,Hallux structure
15,C0003864,Arthritis,,,,,,,,
15,,,C0231218,Malaise,,,,,,
15,,,C0030193,Pain,,,,,,
16,C0003864,Arthritis,,,,,,,,
17,C0003864,Arthritis,,,,,,,,
17,,,C0030193,Pain,,,,,,
17,,,,,,,,,C1305417,Entire elbow region
17,,,,,,,,,C4048756,Right arm
17,,,,,,,,,C0022742,Knee
17,,,,,,,,,C0019552,Hip structure
17,,,,,,,,,C0016504,Foot
18,C0003864,Arthritis,,,,,,,,
18,,,C0030193,Pain,,,,,,
18,,,,,,,,,C0019552,Hip structure
19,C0036916,Sexually Transmitted Diseases,,,,,,,,
20,C0036916,Sexually Transmitted Diseases,,,,,,,,
21,C0036916,Sexually Transmitted Diseases,,,,,,,,
21,,,,,,,,,C0042232,Vagina
21,,,,,,,,,C0023759,Lip structure
22,C0036916,Sexually Transmitted Diseases,,,,,,,,
22,,,C0030193,Pain,,,,,,
22,,,,,C0040808,Treatment Protocols,,,,
23,C0019340,herpes,,,,,,,,
23,,,C0033774,Pruritus,,,,,,
24,C0036916,Sexually Transmitted Diseases,,,,,,,,
25,C0036916,Sexually Transmitted Diseases,,,,,,,,
25,,,C0015230,Exanthema,,,,,,
25,,,,,,,,,C0030851,penis
26,C0036916,Sexually Transmitted Diseases,,,,,,,,
26,,,C0085624,Burning sensation,,,,,,
26,,,C0030193,Pain,,,,,,
26,,,C0232495,Lower abdominal pain,,,,,,
26,,,C2364135,Actual Discomfort,,,,,,
26,,,,,,,,,C0030851,penis
26,,,,,,,,,C0041967,Urethra
27,C0423086,Staring,,,,,,,,
28,C0019345,Herpes Labialis,,,,,,,,
28,,,C0683369,Clouded consciousness,,,,,,
28,,,,,C0522772,Shaving - surgical procedure,,,,
28,,,,,,,,,C0018494,Hair
29,C0003864,Arthritis,,,,,,,,
29,,,C0231749,Knee pain,,,,,,
29,,,,,C1533685,Injection procedure,,,,
29,,,,,,,,,C1279572,Entire left knee
30,C0003864,Arthritis,,,,,,,,
30,,,C0427149,"Gait, Drop Foot",,,,,,
30,,,,,,,,,C0022742,Knee
30,,,,,,,,,C1279572,Entire left knee
31,C0003864,Arthritis,,,,,,,,
31,,,C0019559,Hip pain,,,,,,
31,,,C2142181,Pain in left knee,,,,,,
31,,,C0030193,Pain,,,,,,
31,,,,,C0392879,infusion of cortisone,,,,
31,,,,,C0187769,Operative procedure on knee,,,,
31,,,,,C0949766,Physical therapy,,,,
31,,,,,C0086511,Knee Replacement Arthroplasty (procedure),,,,
31,,,,,C1533685,Injection procedure,,,,
31,,,,,C0035139,Surgical Replantation,,,,
31,,,,,C0087111,Therapeutic procedure,,,,
31,,,,,,,,,C1279571,Entire right knee
32,C0036916,Sexually Transmitted Diseases,,,,,,,,
32,,,C0683369,Clouded consciousness,,,,,,
32,,,,,C0087111,Therapeutic procedure,,,,
33,C0040259,Tinea Pedis,,,,,,,,
33,,,C0015230,Exanthema,,,,,,
33,,,C0033774,Pruritus,,,,,,
34,C0003864,Arthritis,,,,,,,,
34,,,,,C1883583,Yoga,,,,
34,,,,,,,,,C0022742,Knee
34,,,,,,,,,C1279572,Entire left knee
34,,,,,,,,,C0262950,Skeletal bone
35,C0003864,Arthritis,,,,,,,,
35,,,,,C3687832,DRUGS,,,,
36,C0409974,Lupus Erythematosus,,,,,,,,
36,,,C0030193,Pain,,,,,,
36,,,,,C0024875,Massage,,,,
36,,,,,,,,,C4048756,Right arm
37,C0003864,Arthritis,,,,,,,,
37,,,C0030193,Pain,,,,,,
37,,,C0234233,Sore to touch,,,,,,
37,,,,,,,,,C0040357,Toes
37,,,,,,,,,C1280698,Entire throat (surface region of neck)
38,C0003864,Arthritis,,,,,,,,
39,C0003864,Arthritis,,,,,,,,
39,,,C0016512,Foot pain,,,,,,
39,,,,,C0187769,Operative procedure on knee,,,,
39,,,,,,,,,C0222041,Shell - Animal skin appendage
40,C0003864,Arthritis,,,,,,,,
40,,,C0030193,Pain,,,,,,
40,,,,,C0204774,Soaking Procedure,,,,
40,,,,,C0242390,Home Remedies,,,,
40,,,,,,,,,C4048756,Right arm
41,C0036916,Sexually Transmitted Diseases,,,,,,,,
41,,,,,,,,,C0039597,Testis
42,C0019340,herpes,,,,,,,,
42,,,C0278141,Excruciating pain,,,,,,
43,C0036916,Sexually Transmitted Diseases,,,,,,,,
44,C0036916,Sexually Transmitted Diseases,,,,,,,,
45,C0036916,Sexually Transmitted Diseases,,,,,,,,
45,,,C0015230,Exanthema,,,,,,
45,,,C0231218,Malaise,,,,,,
45,,,,,C0087111,Therapeutic procedure,,,,
45,,,,,,,,,C1550261,Glans
46,C0030360,Papillon-Lefevre Disease,,,,,,,,
47,C0036916,Sexually Transmitted Diseases,,,,,,,,
47,,,C0011991,Diarrhea,,,,,,
47,,,C0033774,Pruritus,,,,,,
48,C0036916,Sexually Transmitted Diseases,,,,,,,,
48,,,,,,,,,C1280739,Entire penis
