PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
3,C0032064,Plague,,,,,,,,
3,,,C0221423,Illness (finding),,,,,,
3,,,C0011991,Diarrhea,,,,,,
3,,,C0009806,Constipation,,,,,,
3,,,C3714552,Weakness,,,,,,
3,,,C0018681,Headache,,,,,,
3,,,C0401149,Chronic constipation,,,,,,
3,,,,,C0152060,Transection (procedure),,,,
3,,,,,C0087111,Therapeutic procedure,,,,
3,,,,,,,,,C1281590,Entire head
3,,,,,,,,,C0018787,Heart
8,C0036916,Sexually Transmitted Diseases,,,,,,,,
8,,,,,,,,,C0033572,Prostate
8,,,,,,,,,C1285092,Gland
9,C0036916,Sexually Transmitted Diseases,,,,,,,,
9,,,C0015230,Exanthema,,,,,,
9,,,C0030193,Pain,,,,,,
9,,,,,C0301571,Liquid diet,,,,
9,,,,,C0152054,Therapeutic tactile stimulation,,,,
10,C1333810,Genital Human Papillomavirus Infection,,,,,,,,
10,,,C0033774,Pruritus,,,,,,
10,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
10,,,,,,,,,C1280698,Entire throat (surface region of neck)
11,C0730321,Punctate inner choroidopathy,,,,,,,,
11,,,C1442877,Sore skin,,,,,,
11,,,C0085624,Burning sensation,,,,,,
11,,,C0030193,Pain,,,,,,
11,,,C0677500,Stinging Sensation,,,,,,
11,,,,,C0152054,Therapeutic tactile stimulation,,,,
11,,,,,,,,,C1281590,Entire head
11,,,,,,,,,C1268215,Head part
11,,,,,,,,,C0015392,Eye
11,,,,,,,,,C1268137,Penis part
11,,,,,,,,,C1280739,Entire penis
12,C0036916,Sexually Transmitted Diseases,,,,,,,,
12,,,C0015230,Exanthema,,,,,,
12,,,C0033774,Pruritus,,,,,,
12,,,C0030193,Pain,,,,,,
12,,,,,C0580209,Surgical abrasion,,,,
12,,,,,,,,,C1281590,Entire head
12,,,,,,,,,C1285092,Gland
12,,,,,,,,,C0227952,Foreskin of penis
12,,,,,,,,,C1280739,Entire penis
13,C0036916,Sexually Transmitted Diseases,,,,,,,,
13,,,C0030193,Pain,,,,,,
13,,,,,C1318469,Lubrication procedure,,,,
13,,,,,,,,,C0042232,Vagina
13,,,,,,,,,C0003461,Anus
14,C0036916,Sexually Transmitted Diseases,,,,,,,,
14,,,,,C2973270,Health Checkup,,,,
15,C0269017,Pearly penile papules,,,,,,,,
15,,,,,,,,,C1281590,Entire head
15,,,,,,,,,C1280739,Entire penis
16,C0036916,Sexually Transmitted Diseases,,,,,,,,
16,,,,,,,,,C1281590,Entire head
16,,,,,,,,,C1278997,Entire scalp
16,,,,,,,,,C0017420,Genitalia
16,,,,,,,,,C1281586,Entire thigh
16,,,,,,,,,C0018494,Hair
16,,,,,,,,,C1280739,Entire penis
17,C0022104,Irritable Bowel Syndrome,,,,,,,,
17,,,C0000737,Abdominal Pain,,,,,,
17,,,C0027497,Nausea,,,,,,
17,,,C1446787,Cramping sensation quality,,,,,,
17,,,,,C0087111,Therapeutic procedure,,,,
19,C0036916,Sexually Transmitted Diseases,,,,,,,,
19,,,C1442877,Sore skin,,,,,,
19,,,C0085624,Burning sensation,,,,,,
19,,,,,C0152054,Therapeutic tactile stimulation,,,,
19,,,,,,,,,C1268090,Skin part
24,C0020538,Hypertensive disease,,,,,,,,
24,,,C2957106,headache severe,,,,,,
24,,,C0018681,Headache,,,,,,
24,,,,,,,,,C0033572,Prostate
24,,,,,,,,,C1184743,bony process
31,C0004135,Ataxia Telangiectasia,,,,,,,,
31,,,C0497406,Overweight,,,,,,
31,,,,,C1519433,Special Diet Therapy,,,,
31,,,,,,,,,C0018787,Heart
31,,,,,,,,,C1281591,Entire face
32,C0242354,Congenital Disorders,,,,,,,,
34,C0036916,Sexually Transmitted Diseases,,,,,,,,
34,,,C0596601,gastrointestinal gas,,,,,,
35,C0036916,Sexually Transmitted Diseases,,,,,,,,
36,C0036916,Sexually Transmitted Diseases,,,,,,,,
36,,,C0242429,Sore Throat,,,,,,
36,,,,,,,,,C0023759,Lip structure
37,C0036916,Sexually Transmitted Diseases,,,,,,,,
37,,,,,C0087111,Therapeutic procedure,,,,
38,C0036916,Sexually Transmitted Diseases,,,,,,,,
38,,,C0024031,Low Back Pain,,,,,,
38,,,C0085624,Burning sensation,,,,,,
38,,,C0033774,Pruritus,,,,,,
38,,,C0030193,Pain,,,,,,
38,,,C0234233,Sore to touch,,,,,,
38,,,,,,,,,C0925963,Left cheek
38,,,,,,,,,C1279606,Entire left lower leg
38,,,,,,,,,C0042232,Vagina
38,,,,,,,,,C0019552,Hip structure
39,C0036916,Sexually Transmitted Diseases,,,,,,,,
39,,,C0085624,Burning sensation,,,,,,
40,C0036916,Sexually Transmitted Diseases,,,,,,,,
41,C0036916,Sexually Transmitted Diseases,,,,,,,,
41,,,C0683369,Clouded consciousness,,,,,,
42,C0272285,Heparin-induced thrombocytopenia,,,,,,,,
42,,,C0030193,Pain,,,,,,
42,,,,,,,,,C0039597,Testis
51,C0019340,herpes,,,,,,,,
51,,,C0012833,Dizziness,,,,,,
51,,,C0018681,Headache,,,,,,
51,,,,,C1883520,VePesid-Ifosfamide-Platinol Regimen,,,,
51,,,,,C0152054,Therapeutic tactile stimulation,,,,
51,,,,,C0079613,Adoptive Immunotherapy,,,,
51,,,,,,,,,C0018563,Hand
52,C0036916,Sexually Transmitted Diseases,,,,,,,,
52,,,C0015230,Exanthema,,,,,,
52,,,C0030193,Pain,,,,,,
52,,,,,,,C1251857,Calamine Topical Lotion,,
52,,,,,,,,,C0030851,penis
52,,,,,,,,,C0042232,Vagina
53,C0036916,Sexually Transmitted Diseases,,,,,,,,
53,,,C0026821,Muscle Cramp,,,,,,
53,,,C1446787,Cramping sensation quality,,,,,,
53,,,,,C1285437,Sexual stimulation procedure,,,,
53,,,,,,,,,C0029939,Ovary
54,C0036916,Sexually Transmitted Diseases,,,,,,,,
